id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,starting_a,starting_Tmin,starting_Tmax
42,5.460300818835705e-4,1.040219848018163e-4,8.313307761897729,1.2298101378495048,25.721447097480088,0.3798287441943176,21.606516052513978,0.275067713982679,6e-4,9,25.5
42,3.8118041581978296e-4,1.120921107581644e-4,7.849147645847648,1.828490867154699,27.726626000921346,1.4380909500030887,23.12663872574266,0.9838035836067074,4.000000000000001e-4,8,27.5
42,2.847022079543961e-4,1.2122602814574692e-4,3.2451441043085016,4.149875355431636,27.45322169105448,1.7739334723282236,22.312541197692752,1.1219113891022323,2.8000000000000003e-4,3,27.5
42,2.883558581335186e-4,1.1730655104693709e-4,3.725185979633491,3.609104984470078,28.524457055875185,2.31457046283526,23.22456488314966,1.5450905427540853,2.4e-4,2,29.5
42,3.479710127725622e-4,1.1963710027135039e-4,3.777684648930252,3.4549716029538944,26.20277941978691,0.8365558294498554,21.376607029492583,0.5384225855560998,3.2e-4,3,26.5
42,4.3419414895360157e-4,1.1048594152364562e-4,7.652823837175595,1.6757696966570812,26.136513561805298,0.7138606130582634,21.83707941354418,0.4854401672151949,3.9000000000000005e-4,7,26.5
42,5.023294176477959e-4,9.839497548526259e-5,7.89258741249783,1.374965162862806,25.59131002831162,0.322591057200267,21.44034708060247,0.25036214952096675,5.200000000000001e-4,8,25.5
42,2.237109079887118e-4,1.3223345971277885e-4,3.6443088972889806,4.754870154136619,30.706157718398995,5.2686356556592315,24.958059178098207,3.7645750197643335,2.3e-4,4,30.5
42,5.209769828418872e-4,1.1827839821136587e-4,8.82211016820424,1.250656970214388,25.73941041528275,0.5636347224236408,21.698839414881444,0.40673170816123433,5.600000000000001e-4,9,25.5
42,3.269721364373633e-4,1.277187527564299e-4,5.764288359633408,2.692637717000556,29.020643059294112,2.7385804587443654,23.8720931193243,1.93287090448696,3.0000000000000003e-4,5,29.5
42,3.608754921346108e-4,1.2074437202580969e-4,5.208721698928088,2.718332125732149,27.015567721055973,1.3277112800385038,22.20254394106782,0.8690783700426518,3.1000000000000005e-4,4,27.5
42,3.495026877380257e-4,1.1096069005348895e-4,5.269414972214621,2.467316171124294,26.87845414660294,1.3354212931204963,22.10102476104846,0.8975851381950726,3.9000000000000005e-4,6,26.5
42,3.5773245246627374e-4,1.0382737769720602e-4,6.1110729750236485,2.0840903710199146,27.14185148964155,1.2877148676311105,22.42101063879563,0.869516376353731,4.2000000000000007e-4,7,26.5
42,4.3835876700972745e-4,1.028349900178115e-4,7.458144114256124,1.6053127715880868,26.338297072089546,0.6909523876006327,21.96893108101333,0.45982095892604635,4.1000000000000005e-4,7,26.5
42,2.793724991116076e-4,1.2437254216307705e-4,3.1219136507561824,4.23786568220709,27.58974410350525,2.0603450801335867,22.40736320656471,1.3375238823763935,3.0000000000000003e-4,4,27.5
