a_est_nls,a_se_nls,Tmin_est_nls,Tmin_se_nls,Tmax_est_nls,Tmax_se_nls,Topt_est,Topt_se_delta,a_est_boot,a_se_boot,Tmin_est_boot,Tmin_se_boot,Tmax_est_boot,Tmax_se_boot,starting_a,starting_Tmin,starting_Tmax,which_signif,id
1.952991206260968e-4,1.024621370695937e-5,10.717354016488448,0.5113026425737638,39.738632680159135,0.41674240607272905,33.06988920477449,0.2895415114530019,1.95008625790495e-4,6.445277431227407e-6,10.69178311502961,0.3214813537940001,39.75600405075419,0.26888818654452734,1.8999999999999998e-4,10.5,40,all,115
1.6719552605879164e-4,1.913121604500798e-5,12.247582330305892,1.4319288721582093,38.205405424470186,0.24415629075503612,32.07805869715479,0.23312044902883453,1.6709229863404174e-4,1.3794013914534954e-5,12.191803399856262,1.0435071789339019,38.22495043145899,0.177694049517267,1.8e-4,13,38,all,12
8.715498909727655e-5,6.362650791615346e-6,-2.3814077902823687,1.2205601185211767,38.705480150480156,0.6938557950973328,30.735125026272478,0.4570295268856639,8.726292603034777e-5,3.2478175253130083e-6,-2.385038574451805,0.6237612031086739,38.70274298945215,0.35455813669144415,1.2e-4,2,36,"a,Tmax",13
3.9827698198336895e-4,8.566709615397768e-4,22.610246959735235,13.846261379840605,32.72673086259828,0.4948274969959501,29.822776707182566,3.092232300646003,NA,NA,NA,NA,NA,NA,1.5000000000000001e-4,12.5,33,Tmax,14
1.91602749663684e-4,1.8094728188363957e-4,9.6561946707636,11.978780191336032,30.2467293512021,0.6378838115373431,25.38974089159005,1.6925239191257526,1.8817681511132487e-4,1.0005180418387503e-4,-0.4640024224952191,46.224992817732776,30.66844308571202,1.019449268594052,1.6999999999999999e-4,8.5,30.5,Tmax,15
2.339122546169192e-4,2.5883399387979993e-5,14.938592205420953,0.7566594971148989,34.973483728840066,0.46769608038615346,29.96857658950112,0.3211012603628289,2.3399522962120386e-4,1.5995218505070332e-5,14.90570344204569,0.46956835916574424,34.98139876477938,0.3042424773566071,2.3e-4,15,35,all,16
3.1000000000000005e-4,1.0042267072192759e-4,19,1.5833432283530862,30,1.7907738776658098e-4,26.935258523723093,0.35670561754923835,3.1000000000000005e-4,0,19,0,30,0,3.1000000000000005e-4,19,30,Tmax,17
4e-5,2.5684289409734255e-5,8.5,9.152463133281431,30,2.5194485969239804e-4,25.02389612321986,1.317017763032172,4e-5,0,8.5,0,30,0,4e-5,8.5,30,Tmax,18
2.9309537000643364e-4,5.322450454275799e-5,18.393041837454685,1.0089036139909202,32.87341425668625,0.4018054050646366,28.99251161222544,0.29180342863756514,2.925161572906124e-4,3.442644100966574e-5,18.321351195195177,0.6680354787223066,32.92444441657319,0.28220675306671456,2.9e-4,18.5,33,all,19
3.65221051587922e-5,7.274031399632937e-6,10.785756605248599,1.7822573920461402,35.80068132734732,1.2283292246225865,29.95592470760399,0.8174592407765805,3.634147529973068e-5,4.637663568703583e-6,10.63788513797315,1.224526031781618,35.94088928924319,0.8731579881588416,8e-5,4.5,33.5,all,2
8e-5,3.191325784539613e-5,13.5,3.9310264549134177,31,1.9166174273767516e-4,26.608863125369886,0.6898094241163993,8e-5,0,13.5,0,31,0,8e-5,13.5,31,Tmax,20
1.0999999999999999e-4,1.848038320397502e-5,16,1.6826879152197867,35.5,1.1212410641762604e-4,30.567194992737008,0.3011474066582378,1.0999999999999999e-4,0,16,0,35.5,0,1.0999999999999999e-4,16,35.5,all,21
3.0000000000000004e-5,3.067628589812096e-5,6.5,14.248120285735315,43,9.880469516263805,35.116292619139855,6.482347288715742,3.0000000000000004e-5,0,6.5,0,43,0,3.0000000000000004e-5,6.5,43,Tmax,22
2.3319259312720253e-4,1.3516087704773262e-4,21.38395373917947,1.7292680125664812,31.102375503531526,1.355899654318703,28.31748788937487,0.8791593962110126,2.214844533268119e-4,6.648869008553816e-5,21.035366234241568,1.0889469248548558,31.911730831966832,4.797137193883863,2.4000000000000003e-4,21.5,31,Tmax,23
1.5000000000000001e-4,9.654935426133384e-5,3.5,10.07799349897356,30,3.092574305393288e-4,24.377069347364305,1.168318364467048,1.5000000000000001e-4,0,3.5,0,30,0,1.5000000000000001e-4,3.5,30,Tmax,24
