a_est,a_se,tmin,tmin_se,tmax,tmax_se,topt,topt_se,start_a,start_tmin,start_tmax,id,authors,Year,title,DOI,vi,order,family,genus,species,feeding_guild,lat,sd_median,thermal_breadth...25,t50_left...26,t50_right...27,tsm,therm_range,thermal_breadth...30,t50_left...31,t50_right...32,therm_window,thermal_breadth...34,t50_left...35,t50_right...36,thermal_breadth
-0.3215210880409135,8.553599431744133e-6,0.8120767855797331,0.35591578013329167,-0.07642916153318682,0.37658330248769795,0.005779878930997824,0.26153145398606764,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,12.809,21.3062,34.1152,-0.690231616784949,-0.7986134899337176,12.809,21.3062,34.1152,-0.8129231235289871,12.809000000000001,21.3062,34.1152,-0.7238224296813945
-0.45342502698108306,9.23018019047715e-6,0.8188638837895533,0.4162940591010193,0.12167635530956102,0.5949326326791211,0.23548160900376394,0.42278514165106434,9e-5,15,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,13.324199999999998,21.6278,34.952,-0.5359540740466268,-0.6289696405906327,13.324199999999998,21.6278,34.952,-0.6551384151613048,13.324199999999998,21.6278,34.952,-0.5642664427026162
-0.25428958593368195,8.257907531960435e-6,0.8377262519927198,0.3356296124195089,-0.12719456396189452,0.3344787971846143,-0.03377289229197554,0.23178621162320637,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,12.648699999999998,21.3057,33.9544,-0.7389267856732988,-0.8403214901028508,12.648699999999998,21.3057,33.9544,-0.8560135378755985,12.648699999999998,21.3057,33.9544,-0.7753941410820782
-0.44333385457611474,8.87601752743586e-6,0.7198750326252839,0.42532652795898845,0.08314296359494386,0.5294307743513176,0.15854276367269057,0.37025113150587374,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,13.5112,21.2754,34.7866,-0.4887764111146694,-0.5465197174466254,13.5112,21.2754,34.7866,-0.5671223370009495,13.511199999999999,21.2754,34.7866,-0.5039160259126495
-0.2694006848240661,7.525788980605258e-6,0.7969407603665465,0.32546126526586827,-0.10453149873932736,0.3042514619371725,-0.0355992056168918,0.20899121167298423,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,12.8171,21.1915,34.0086,-0.6894597714376086,-0.7919358908058053,12.8171,21.1915,34.0086,-0.8086972325988435,12.8171,21.1915,34.0086,-0.7214526422150123
-0.43328762777602214,8.817420485531353e-6,0.757439819207917,0.4083343034412279,0.08253246761552435,0.5240031704445719,0.17396470076540588,0.3681880426292831,9e-5,15,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,13.3856,21.3985,34.7841,-0.5233536747879828,-0.5966693567354997,13.3856,21.3985,34.7841,-0.6215720550541449,13.3856,21.398500000000002,34.7841,-0.5451074608534137
-0.39813051685459727,8.758305117278584e-6,0.6871466949616416,0.4523144048347429,0.010038849811109201,0.4354973391886086,0.06484053022978936,0.2975432739885503,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,13.3977,21.0818,34.4795,-0.5254479256185153,-0.5814720800388282,13.3977,21.0818,34.4795,-0.6024950454411542,13.3977,21.0818,34.4795,-0.539469253455658
-0.37518313516419216,8.180926432280437e-6,0.778685417040556,0.3681103786956816,-0.045950737019490144,0.3903035839137176,0.026468704368368595,0.2702671703513824,8e-5,14,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,12.991500000000002,21.2353,34.226800000000004,-0.6446180153577109,-0.732546697191761,12.991500000000002,21.2353,34.226800000000004,-0.7590618919096732,12.991500000000002,21.235300000000002,34.226800000000004,-0.6664913552890968
-0.4466925143796125,8.930846582257214e-6,0.6840682987216369,0.4464268333480045,0.10391978027184758,0.537701464286489,0.17520019629449482,0.3745801433302468,9e-5,14,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,13.6565,21.2188,34.8753,-0.44065052468429,-0.49977571860826436,13.6565,21.2188,34.8753,-0.5149994589884189,13.656500000000001,21.2188,34.8753,-0.45815002617608525
-0.2820402841175997,7.72243683253778e-6,0.7293678163996393,0.3623138470206497,-0.1265812414401602,0.2987559541827005,-0.06727946637805901,0.2020749800926667,8e-5,13,35.5,28,Khadioli,2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,0.003,Lepidoptera,Crambidae,Chilo,partellus,borer,-2.40199,0.0229895005926642,12.971799999999998,20.983,33.9548,-0.6528779714220939,-0.731751283987619,12.971799999999998,20.983,33.9548,-0.7558197369771242,12.971799999999998,20.983,33.9548,-0.6718188465600915
