a_est,a_se,tmin,tmin_se,tmax,tmax_se,topt,topt_se,start_a,start_tmin,start_tmax,id,authors,Year,title,DOI,vi,order,family,genus,species,feeding_guild,lat,sd_median,thermal_breadth...25,t50_left...26,t50_right...27,tsm,therm_range,thermal_breadth...30,t50_left...31,t50_right...32,therm_window,thermal_breadth...34,t50_left...35,t50_right...36
6.802108054031681e-5,9.729153400190202e-6,2.355753316197734,1.65536750264639,34.48270440922146,0.8894380299445035,27.832149148170743,0.6464954480008452,7.000000000000001e-5,3,34.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.7207,15.762,34.4827,6.6505552610507195,32.12695109302373,18.7207,15.762,34.4827,25.476395831973008,18.7207,15.762,34.4827
8.057382477057549e-5,8.246750665723216e-6,4.966302253438641,1.101466237804808,33.28319473483285,0.2920469236617983,27.173133715651147,0.2421625749932649,8e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.153100000000006,16.13,33.283100000000005,6.1100610191817,28.316892481394206,17.153100000000006,16.13,33.283100000000005,22.206831462212506,17.153100000000006,16.13,33.283100000000005
7.725867257582386e-5,8.968061863794497e-6,3.9053989935363114,1.2931660526116564,33.73757299560115,0.5103815280440394,27.410553964953827,0.3829961971848168,9e-5,6,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.786800000000003,15.9507,33.737500000000004,6.327019030647321,29.832174002064836,17.786800000000003,15.9507,33.737500000000004,23.505154971417515,17.786800000000003,15.950700000000001,33.737500000000004
7.427331248630739e-5,8.754120602886974e-6,3.0495171826866314,1.417896423802644,33.42136360076952,0.4032384245404339,27.060251675593346,0.3169575796104087,7.000000000000001e-5,2,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.896300000000004,15.525,33.4213,6.361111925176171,30.371846418082885,17.896300000000004,15.525,33.4213,24.010734492906714,17.896300000000004,15.525,33.4213
1.2720162567351378e-4,1.0607753580728643e-5,7.892638698207114,0.707124074790596,31.101378445598876,0.31135899064873246,25.812807754626352,0.23338139361022975,7.000000000000001e-5,3,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,14.7411,16.360200000000003,31.1013,5.288570690972524,23.20873974739176,14.7411,16.360200000000003,31.1013,17.920169056419237,14.7411,16.360200000000003,31.101300000000002
7.342594192355158e-5,8.933455250610746e-6,3.7724346257202375,1.2516699637744102,34.4234006213696,0.7908791155115876,27.943271848565576,0.5831870739042564,7.000000000000001e-5,3,34.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.2211,16.2023,34.4234,6.480128772804026,30.650965995649365,18.2211,16.2023,34.4234,24.17083722284534,18.2211,16.2023,34.4234
8.222967193427382e-5,8.875103084460283e-6,3.2954455800263105,1.2311226940733362,33.451735634448184,0.41707457960811545,27.11225676538113,0.3225978067694004,8e-5,3,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.8318,15.6199,33.4517,6.3394788690670545,30.156290054421873,17.8318,15.6199,33.4517,23.81681118535482,17.8318,15.619900000000001,33.4517
8.388548008460496e-5,7.594499195678179e-6,4.676261237665886,0.9796879372077826,33.20212334073898,0.2326902433055933,27.07352748144981,0.20026262764511824,7.000000000000001e-5,2,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.2118,15.9903,33.2021,6.12859585928917,28.52586210307309,17.2118,15.9903,33.2021,22.39726624378392,17.2118,15.990300000000001,33.2021
8.373655554804913e-5,8.085882604831749e-6,5.150890012957665,0.8807984676212325,33.680639774469746,0.528126023077739,27.512797462280492,0.40168730813073106,6e-5,1,34.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.312199999999997,16.3684,33.6806,6.167842312189254,28.529749761512083,17.312199999999997,16.3684,33.6806,22.36190744932283,17.312199999999997,16.3684,33.6806
7.62069435937803e-5,8.428868451690049e-6,4.048154399085426,1.1464728194078726,33.63169018257681,0.5324968107824902,27.34253045165466,0.4034143758159803,8e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.6774,15.9542,33.6316,6.289159730922151,29.583535783491385,17.6774,15.9542,33.6316,23.294376052569234,17.6774,15.9542,33.6316
