id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Topt_est,Topt_se,starting_a,starting_Tmin,starting_Tmax
2,4e-5,4.900438389819073e-6,12,0.6176712550864698,36.5,1.4025720327260989,30.69159717570175,1.0523570311735275,4e-5,12,36.5
2,4e-5,4.501987085302789e-6,12,0.7020034924339029,35.5,0.9022462825929738,29.901239605924673,0.6521034688159709,4e-5,12,35.5
2,3.0000000000000004e-5,5.390590242199627e-6,10,1.1289405365255198,38.5,2.457832957037784,31.985286158193354,1.8406105095013787,3.0000000000000004e-5,10,38.5
2,3.0000000000000004e-5,4.878788743233723e-6,10,0.9575124003351023,38.5,2.3710699825011097,31.985286158193354,1.78904396007592,3.0000000000000004e-5,10,38.5
2,4e-5,4.28262576283854e-6,11,0.6891436373601828,34.5,0.6814783206239947,28.957908753233006,0.4845858533266906,4e-5,11,34.5
2,3.0000000000000004e-5,5.514834876308266e-6,10,1.1400432138630008,38.5,2.5466549010297173,31.985286158193354,1.9101665015102207,3.0000000000000004e-5,10,38.5
2,2e-5,7.171086635696826e-6,7,2.5123305600415864,44.5,8.08007735784032,36.374525789836866,6.19224756520962,2e-5,7,44.5
2,3.0000000000000004e-5,5.013539412559022e-6,9,1.3700349758639996,36.5,1.4810642806942242,30.257237359869578,1.0518819463343778,3.0000000000000004e-5,9,36.5
2,3.0000000000000004e-5,4.882837217212707e-6,10,1.0519404801126127,37.5,1.9581476539801768,31.190905958272918,1.4535666675463919,3.0000000000000004e-5,10,37.5
2,3.0000000000000004e-5,5.242807235500705e-6,10,1.097031005980568,38.5,2.3924939800533296,31.985286158193354,1.7918742008061512,3.0000000000000004e-5,10,38.5
2,3.0000000000000004e-5,5.1198257436294424e-6,9,1.270209771195074,37.5,1.9140974727230176,31.052527850560733,1.4008301899993014,3.0000000000000004e-5,9,37.5
2,4e-5,4.479474849873445e-6,11,0.7471280238255587,35.5,0.8996323746343418,29.7494897852931,0.6472053149672294,4e-5,11,35.5
2,3.0000000000000004e-5,4.871168817036122e-6,9,1.1641750049016837,37.5,1.8985605823476903,31.052527850560733,1.3987985823652134,3.0000000000000004e-5,9,37.5
2,4e-5,4.0067411842415175e-6,11,0.625578285005671,35.5,0.8571820934980112,29.7494897852931,0.6240903332353985,4e-5,11,35.5
2,3.0000000000000004e-5,5.256810947553365e-6,10,1.1050700896079544,38.5,2.3880549042927885,31.985286158193354,1.7875170150976867,3.0000000000000004e-5,10,38.5
2,4e-5,5.225585117476372e-6,12,0.7329373833303452,35.5,1.1491678630105728,29.901239605924673,0.8445285370672715,4e-5,12,35.5
2,4e-5,3.9179981794584785e-6,11,0.647042657977881,34.5,0.6104760156450573,28.957908753233006,0.43200351974044515,4e-5,11,34.5
2,4e-5,4.661314733154277e-6,12,0.6538787209867764,35.5,1.0249584549286663,29.901239605924673,0.753232406191588,4e-5,12,35.5
2,4e-5,4.199318698176368e-6,11,0.7441269024270859,34.5,0.6193388145730985,28.957908753233006,0.4323628283169274,4e-5,11,34.5
2,4e-5,4.434519800117222e-6,11,0.7226424908317334,35.5,0.9103635485043169,29.7494897852931,0.6577831100650589,4e-5,11,35.5
2,4e-5,4.657471946004623e-6,12,0.5954077687515711,36.5,1.315882865173225,30.69159717570175,0.9858039796373839,4e-5,12,36.5
2,4e-5,4.140406988199522e-6,11,0.7128185366699995,34.5,0.6243723042904631,28.957908753233006,0.4383499240957179,4e-5,11,34.5
2,4e-5,3.8964168205333785e-6,11,0.6884996799357982,34.5,0.5759138815213419,28.957908753233006,0.40227377489910465,4e-5,11,34.5
